customer_id,name,email,address,phone,created_at
491b871a-e497-4615-b85a-0d3b8e8794c2,Cheryl Schneider,obriensteve@example.org,"6157 Smith Valleys
South Carmenfurt, ME 24414",+1-645-391-5450x3104,2025-03-22T18:47:24
c6584419-ab35-46a0-aba7-44bc9f95e3dd,Beverly Beasley,howardbenjamin@example.com,"663 Kimberly Squares Apt. 056
Heatherburgh, WA 94223",437-869-0123x747,2020-08-12T19:01:35
eefe6fa7-fab9-4ec4-ae2c-d20f37c15820,Tara Schultz,estewart@example.com,"PSC 8145, Box 1842
APO AE 91201",+1-825-836-9215x5142,2022-11-09T01:14:55
b68059cc-ff3e-4816-b07b-f187b12d3c5a,Amanda Kennedy,shannonrandall@example.org,"32592 Ortiz Lake
Christopherstad, MO 74097",217-377-2169,2020-09-09T08:22:48
f2d5c36b-4c02-4f03-92a7-5492ae5bb78f,Annette Mitchell,rfloyd@example.net,"48497 Nancy Bypass Apt. 098
Rodneymouth, MT 40768",001-901-729-6777x182,2020-12-13T14:51:00
e31d55d5-0134-457e-bb6d-40da7b4ec223,Douglas Rogers,jdavis@example.com,"22160 Santiago Isle
New Ronaldborough, MS 63033",239-934-0537x1165,2023-02-06T04:29:18
b3174915-2781-4363-b866-8e9c64540472,Tracy Holloway,qsmith@example.net,"94022 Shaw Points Apt. 273
South Christian, LA 84867",(329)833-9051,2021-11-23T02:01:09
c14cc9ea-0840-4788-8c0f-b1fde1c70317,Amy Skinner,tiffanywillis@example.com,"PSC 3182, Box 5582
APO AA 22911",4519451815,2024-11-01T19:47:16
81194810-6012-458d-a550-5e4f4a3a5bdb,Bridget Castro,gutierrezchase@example.com,"PSC 7323, Box 0336
APO AP 19803",001-708-493-6771x1429,2021-01-17T18:51:36
e60e3d24-07d4-4a4a-a2a4-a71a782d6df1,Francis Moore,brandonblackwell@example.org,"40401 Moore Ford
Benjaminborough, RI 47960",882.462.9101,2021-10-04T11:02:52
